customer_id,churn_flag,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,phone_service,gender,senior_citizen,partner,dependents,tech_support,online_security,streaming_tv,streaming_movies,paperless_billing,num_products,last_activity_days
C00000,0,47,86.75,850.92,Month-to-Month,Electronic Check,DSL,No,Female,0,No,Yes,Yes,No,No,No,Yes,3,67
C00001,1,12,99.33,6631.3,Month-to-Month,Bank Transfer,Fiber Optic,No,Male,0,Yes,No,No,No,Yes,Yes,No,1,71
C00002,0,62,45.01,476.37,Two Year,Mailed Check,DSL,No,Male,1,Yes,Yes,No,No,Yes,Yes,Yes,2,36
C00003,0,8,37.46,5841.32,One Year,Bank Transfer,Fiber Optic,No,Female,1,No,No,Yes,No,Yes,No,No,2,29
C00004,0,21,99.18,6213.86,One Year,Electronic Check,Fiber Optic,Yes,Female,1,Yes,No,Yes,No,No,No,Yes,1,37
C00005,0,70,79.18,2885.56,One Year,Bank Transfer,Fiber Optic,No,Male,1,No,No,No,Yes,Yes,No,No,2,87
C00006,0,25,47.98,6615.82,One Year,Mailed Check,DSL,No,Female,1,No,No,No,Yes,Yes,No,No,1,45
C00007,1,12,86.81,4173.71,One Year,Electronic Check,Fiber Optic,No,Male,0,No,No,Yes,No,No,Yes,Yes,4,16
C00008,0,15,93.36,3760.02,Month-to-Month,Credit Card,DSL,Yes,Male,0,Yes,Yes,No,Yes,Yes,No,No,4,31
C00009,0,59,75.35,458.69,Month-to-Month,Electronic Check,Fiber Optic,Yes,Male,0,No,Yes,No,No,No,Yes,Yes,2,34
C00010,0,26,81.91,2391.23,Month-to-Month,Credit Card,Fiber Optic,No,Female,1,Yes,Yes,No,Yes,No,No,Yes,2,50
C00011,1,26,53.77,7454.98,Two Year,Bank Transfer,No Internet,No,Female,0,Yes,Yes,No,Yes,No,Yes,No,1,65
C00012,1,47,68.48,3195.41,One Year,Bank Transfer,No Internet,Yes,Female,1,Yes,No,Yes,No,Yes,Yes,Yes,2,82
C00013,0,32,67.17,4418.93,Two Year,Mailed Check,No Internet,No,Male,1,Yes,No,No,Yes,Yes,No,Yes,5,62
C00014,0,10,96.32,4302.97,One Year,Credit Card,DSL,No,Male,0,Yes,No,Yes,No,No,Yes,No,4,43
C00015,0,16,95.6,4764.41,Month-to-Month,Bank Transfer,DSL,No,Male,0,No,Yes,No,Yes,No,No,Yes,2,56
C00016,0,71,94.94,584.51,Two Year,Credit Card,Fiber Optic,No,Female,1,Yes,Yes,Yes,No,No,Yes,Yes,2,15
C00017,0,17,20.99,2961.19,Month-to-Month,Bank Transfer,Fiber Optic,Yes,Male,0,Yes,Yes,No,Yes,Yes,Yes,No,3,48
C00018,0,23,87.46,5812.71,One Year,Electronic Check,Fiber Optic,Yes,Male,1,Yes,Yes,Yes,No,No,No,Yes,2,49
C00019,0,26,88.28,1684.43,One Year,Bank Transfer,Fiber Optic,Yes,Female,0,Yes,No,No,Yes,No,No,Yes,5,81
